"date","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
2025-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,23.56,68.74,7.5,0,0,0,0
2025-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-07-01,0,0,0,0,0,0,0,0,0,0.24,1.38,5.28,13.39,22.56,25.27,18.82,9.32,3.07,0.67,0,0
2025-08-01,0,0,0,0,0,0,0,0.14,0.7,2.6,7.1,14.17,20.68,22.05,17.19,9.79,4.08,1.24,0.28,0,0
2025-09-01,0,0,0,0.11,0.33,0.87,1.97,3.88,6.68,9.99,13.01,14.74,14.53,12.46,9.3,6.04,3.42,1.68,0.72,0.27,0
2025-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-11-01,0,0,0.1,0.27,0.65,1.38,2.65,4.54,6.98,9.62,11.87,13.12,13,11.53,9.17,6.53,4.17,2.39,1.22,0.56,0.23
2025-12-01,0,0.14,0.33,0.67,1.28,2.24,3.61,5.37,7.35,9.26,10.74,11.47,11.28,10.22,8.53,6.55,4.63,3.02,1.81,1,0.51
2026-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
