"scrape_date","bucket","probability"
2025-04-17,"-50 bp cut",0.040252183773439
2025-04-17,"-25 bp cut",0.617145352918266
2025-04-17,"No change",0.337339398105399
2025-04-17,"+25 bp hike",0.00526183090339783
2025-04-17,"+50 bp hike",1.23429949775651e-06
2025-04-17,"-50 bp cut",0.145283312316347
2025-04-17,"-25 bp cut",0.248833849198959
2025-04-17,"No change",0.283353856308487
2025-04-17,"+25 bp hike",0.214540691272373
2025-04-17,"+50 bp hike",0.107988290903833
2025-04-17,"-50 bp cut",0.174932752360208
2025-04-17,"-25 bp cut",0.250441365535828
2025-04-17,"No change",0.262077383211278
2025-04-17,"+25 bp hike",0.200468896573554
2025-04-17,"+50 bp hike",0.112079602319132
2025-04-17,"-50 bp cut",0.23887673747989
2025-04-17,"-25 bp cut",0.246892533944124
2025-04-17,"No change",0.222058131097661
2025-04-17,"+25 bp hike",0.173799677066186
2025-04-17,"+50 bp hike",0.118372920412139
2025-04-17,"-50 bp cut",0.17949699623718
2025-04-17,"-25 bp cut",0.211023013438499
2025-04-17,"No change",0.222282879479148
2025-04-17,"+25 bp hike",0.209790598312701
2025-04-17,"+50 bp hike",0.177406512532472
2025-04-17,"-50 bp cut",0.183714081130642
2025-04-17,"-25 bp cut",0.207917707328498
2025-04-17,"No change",0.216681401719808
2025-04-17,"+25 bp hike",0.207937590235999
2025-04-17,"+50 bp hike",0.183749219585052
